ligne_xlsx;classe;alliance;alliance_brut;auteurs;cd_hab;typologie;code_habref;nom_habref;ancre_cd_hab;ancre_typologie;ancre_code;corine_cd_hab;corine_code;corine_nom;corine_autres;eunis_cd_hab;eunis_code;eunis_nom;eunis_autres;hic_cd_hab;hic_code;hic_nom;cahiers_cd_hab;cahiers_code;cahiers_nom;condition_n2000
82;Thlaspietea rotundifolii;Dryopteridion submontanae;Dryopteridion submontanae;"Rivas Mart., T.E.Diáz, F.Prieto, Loidi & 
Penas 1984";16332;PVF1;71.0.7.0.2;Dryopteridion submontanae;;;;17220;61.3123;Eboulis calcaires à Fougères;;18489;H2.6123;Éboulis calcaires à fougères;;2782;8120;Éboulis calcaires et de schistes calcaires des étages montagnard à alpin (Thlaspietea rotundifolii);;;;- 6
83;Thlaspietea rotundifolii;Epilobion fleischeri;Epilobion fleischeri;G.Braun-Blanq. ex Braun-Blanq. 1949;16333;PVF1;71.0.8.0.1;Epilobion fleischeri;;;;3969;24.22;Bancs de graviers végétalisés;;11023;C3.552;Habitats de graviers de cours d'eau montagnards;;2765;3220;Rivières alpines avec végétation ripicole herbacée;;;;
86;Artemisietea vulgaris;Onopordion acanthii;Onopordion acanthii;"Braun-Blanq.in Braun-Blanq., Gajewski, Wraber 
& Walas 1936";16471;PVF1;7.0.2.0.1;Onopordion acanthii;;;;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
87;Artemisietea vulgaris;Dauco carotae-Melilotion albi;Dauco carotae-Melilotion albi;Görs 1966;16472;PVF1;7.0.2.0.2;Dauco carotae-Melilotion albi;;;;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
88;Artemisietea vulgaris;Silybo mariani-Urticion piluliferae;Silybo mariani-Urticion piluliferae;"G.Sissingh ex Braun-Blanq. & 
O.Bolòs 1958";16474;PVF1;7.0.3.0.2;Silybo mariani-Urticion piluliferae;;;;508;87;Terrains en friche et terrains vagues;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
90;Epilobietea angustifolii;Atropion belladonnae;Atropion belladonnae;Aichinger 1933;16528;PVF1;23.0.1.0.1;Atropion belladonnae;;;;9536;31.871;Clairières herbacées forestières;;12298;G5.842;Clairières à Bardane et Belladone;;;;;;;;
91;Epilobietea angustifolii;Epilobion angustifolii;Epilobion angustifolii;Oberd. 1957;16529;PVF1;23.0.1.0.2;Epilobion angustifolii;;;;9536;31.871;Clairières herbacées forestières;;12297;G5.841;Clairières à Épilobe et Digitale;;;;;;;;
93;Polygono arenastri-Poetea annuae;Polygono arenastri-Coronopodion squamat;Polygono arenastri-Coronopodion squamat;G.Sissingh 1969;;;;;1355;CORINE_biotopes;87.2;1355;87.2;Zones rudérales;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
94;Polygono arenastri-Poetea annuae;Digitario sanguinalis-Polygonion avicularis;Digitario sanguinalis-Polygonion avicularis;B.Foucault 2010;16789;PVF2;;Digitario sanguinalis - Polygonion avicularis;;;;1355;87.2;Zones rudérales;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
95;Polygono arenastri-Poetea annuae;Polycarpion tetraphylli;Polycarpion tetraphylli;Rivas Mart. 1975;16376;PVF1;53.0.1.0.3;Polycarpion tetraphylli;;;;1355;87.2;Zones rudérales;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
