ligne_xlsx;classe;alliance;alliance_brut;auteurs;cd_hab;typologie;code_habref;nom_habref;ancre_cd_hab;ancre_typologie;ancre_code;corine_cd_hab;corine_code;corine_nom;corine_autres;eunis_cd_hab;eunis_code;eunis_nom;eunis_autres;hic_cd_hab;hic_code;hic_nom;cahiers_cd_hab;cahiers_code;cahiers_nom;condition_n2000
162;Festuco-Brometea;Bromion erecti;Bromion erecti;W. Koch 1926;25142;PVF1;;Bromion erecti;;;;4118;34.32;Pelouses calcaires sub-atlantiques semi-arides;;11155;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;[*sites d'orchidées remarquables]
163;Festuco-Brometea;Thesio humifusi-Koelerion pyramidatae;Thesio humifusi-Koelerion pyramidatae;J.-M. Royer & Ferrez 2020;;;;;4118;CORINE_biotopes;34.32;4118;34.32;Pelouses calcaires sub-atlantiques semi-arides;;11155;E1.262;Pelouses semi-sèches médio-européennes à Bromus erectus;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;[*sites d'orchidées remarquables]
164;Festuco-Brometea;Anacamptido pyramidalis – Serapiadion vomeraceae;Anacamptido pyramidalis – Serapiadion vomeraceae;;;;;;17143;CORINE_biotopes;34.3261;17143;34.3261;Mesobromion pyrénéo-catalan;;11094;E1.266;Mesobromion subméditerranéen;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;[*sites d'orchidées remarquables]
165;Festuco-Brometea;Festucion auquieri – marginatae;Festucion auquieri – marginatae;;;;;;4269;CORINE_biotopes;34.33;4269;34.33;Prairies calcaires subatlantiques très sèches;;5057;E1.27;Pelouses calcaires subatlantiques très sèches;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;[*sites d'orchidées remarquables]
166;Festuco-Brometea;Teucrio pyrenaici – Bromion erecti;Teucrio pyrenaici – Bromion erecti;Rivas-Mart., Fernández-González & Loidi 1999;;;;;17175;CORINE_biotopes;34.332G;17175;34.332G;Xerobromion pyrénéen;;11102;E1.272;Pelouses médio-européennes du Xerobromion;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;[*sites d'orchidées remarquables]
167;Festuco-Brometea;Koelerio macranthae – Phleion phleoidis;Koelerio macranthae – Phleion phleoidis;;16547;PVF1;26.0.2.0.7;Koelerio macranthae-Phleion phleoidis;;;;4290;34.34;Pelouses calcaréo-siliceuses de l'Europe centrale;;5067;E1.28;Pelouses calcaréo-siliceuses d'Europe centrale;;2842;6210;Pelouses sèches semi-naturelles et faciès d'embuissonnement sur calcaires (Festuco-Brometalia) (* sites d'orchidées remarquables);;;;[*sites d'orchidées remarquables]
168;Festuco-Brometea;Ononidion striatae;Ononidion striatae;;16548;PVF1;26.0.3.0.1;Ononidion striatae;;;;4253;34.71;Steppes méditerranéo-montagnardes;;5092;E1.51;Steppes méditerranéo-montagnardes;;;;;;;;
170;Molinio caeruleae-Juncetea acutiflori;Juncion acutiflori;Juncion acutiflori;Braun-Blanq. in Braun-Blanq. & Tüxen 1952;16628;PVF1;42.0.1.0.2;Juncion acutiflori;;;;4258;37.22;Prairies à Jonc acutiflore;37.312;5266;E3.42;Prairies à Juncus acutiflorus;E3.512;;;;9071;6410-11;Prés humides subatlantiques à précontinentaux, montagnards du Massif central et des Pyrénées;
171;Molinio caeruleae-Juncetea acutiflori;Molinion caeruleae;Molinion caeruleae;;16629;PVF1;42.0.1.0.3;Molinion caeruleae;;;;9959;37.311;Prairies à Molinie sur calcaires;;11311;E3.511;Prairies calciclines à Molinie bleue;;2833;6410;Prairies à Molinia sur sols calcaires, tourbeux ou argilo-limoneux (Molinion caeruleae);;;;
173;Nardetea strictae;Galio saxatilis-Festucion filiformis;Galio saxatilis-Festucion filiformis;;16647;PVF1;45.0.1.0.2;Galio saxatilis-Festucion filiformis;;;;4286;35.12;Pelouses à Agrostis-Festuca;;5068;E1.72;Pelouses à Agrostis et Festuca;;2797;6230;Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale);;;;*
174;Nardetea strictae;Violion caninae;Violion caninae;;16648;PVF1;45.0.1.0.3;Violion caninae;;;;4286;35.12;Pelouses à Agrostis-Festuca;;5068;E1.72;Pelouses à Agrostis et Festuca;;2797;6230;Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale);;;;*
175;Nardetea strictae;Danthonio decumbentis-Serapiadion linguae;Danthonio decumbentis-Serapiadion linguae;;16716;PVF2;;Danthonio decumbentis - Serapiadion linguae;;;;1276;35.1;Pelouses atlantiques à Nard raide et groupements apparentés;;5058;E1.71;Gazons à Nardus stricta;;2797;6230;Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale);;;;*
176;Nardetea strictae;Nardo strictae-Juncion squarrosi;Nardo strictae-Juncion squarrosi;;16650;PVF1;45.0.1.0.5;Nardo strictae-Juncion squarrosi;;;;4263;37.32;Prairies à Jonc rude et pelouses humides à Nard;;5224;E3.52;Prairies à Juncus squarrosus et gazons humides à Nardus stricta;;;;;;;;
177;Nardetea strictae;Nardo strictae-Agrostion tenuis;Nardo strictae-Agrostion tenuis;;16719;PVF2;;Nardo strictae - Agrostion tenuis;;;;;;;;;;;;;;;;;;
178;Nardetea strictae;Carici macrostyli-Nardion strictae;Carici macrostyli-Nardion strictae;;16721;PVF2;;Carici macrostyli - Nardion strictae;;;;9989;36.311;Nardaies mésophiles pyrénéo-alpines;36.312|36.313|36.314;11368;E4.311;Gazons pyrénéo-alpins mésophiles à Nard raide;E4.312|E4.313|E4.314;2797;6230;Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale);;;;
179;;Selino pyrenaei – Nardetum strictae;Selino pyrenaei – Nardetum strictae;;24045;PVF2;;Selino pyrenaei - Nardetum strictae;;;;9990;36.312;Nardaies pyrénéo-alpines hygrophiles;;11369;E4.312;Gazons pyrénéo-alpins hygrophiles à Nard raide;;2797;6230;Formations herbeuses à Nardus, riches en espèces, sur substrats siliceux des zones montagnardes (et des zones submontagnardes de l'Europe continentale);;;;
183;Nardetea strictae;Festucion eskiae;Festucion eskiae;;16680;PVF1;15.0.1.0.2;Festucion eskiae;;;;9888;36.331;Pelouses à Festuca paniculata;36.332;11413;E4.331;Gazons thermo-alpigènes à Festuca paniculata;E4.332;;;;;;;
185;Sedo albi-Scleranthetea biennis;Sedion anglici;Sedion anglici;Braun-Blanq. In Braun-Blanq. & Tüxen 1952;16446;PVF1;65.0.1.0.3;Sedion anglici;;;;9687;34.111;Pelouses à orpins;;11105;E1.111;Gazons médio-européens à Orpins;;2788;8230;Roches siliceuses avec végétation pionnière du Sedo-Scleranthion ou du Sedo albi-Veronicion dillenii;;;;
186;Sedo albi-Scleranthetea biennis;Sedion pyrenaici;Sedion pyrenaici;Tüxen ex Rivas-Martínez, T.E. Diáz, F. Prieto, Loidi & Penas in T.E. Diáz & F.Prieto 1994;16445;PVF1;65.0.1.0.2;Sedion pyrenaici;;;;1296;36.2;Communautés des affleurements et rochers désagrégés alpins;34.111;5753;H3.62;Affleurements et rochers érodés à végétation clairsemée;E1.111;2788;8230;Roches siliceuses avec végétation pionnière du Sedo-Scleranthion ou du Sedo albi-Veronicion dillenii;;;;
187;Sedo albi-Scleranthetea biennis;Sedo albi-Veronicion dillenii;Sedo albi-Veronicion dillenii;Oberdorfer ex Korneck 1974;16448;PVF1;65.0.2.0.2;Sedo albi-Veronicion dillenii;;;;9687;34.111;Pelouses à orpins;;11105;E1.111;Gazons médio-européens à Orpins;;2788;8230;Roches siliceuses avec végétation pionnière du Sedo-Scleranthion ou du Sedo albi-Veronicion dillenii;;;;
188;Sedo albi-Scleranthetea biennis;Alysso alyssoidis-Sedion albi;Alysso alyssoidis-Sedion albi;;16447;PVF1;65.0.2.0.1;Alysso alyssoidis-Sedion albi;;;;9687;34.111;Pelouses à orpins;;11105;E1.111;Gazons médio-européens à Orpins;;2857;6110;Pelouses rupicoles calcaires ou basiphiles de l'Alysso-Sedion albi;;;;
189;Sedo albi-Scleranthetea biennis;Sedion micrantho-sediformis;Sedion micrantho-sediformis;;16449;PVF1;65.0.2.0.3;Sedion micrantho-sediformis;;;;9687;34.111;Pelouses à orpins;;11105;E1.111;Gazons médio-européens à Orpins;;2857;6110;Pelouses rupicoles calcaires ou basiphiles de l'Alysso-Sedion albi;;;;
191;Violetea calaminariae ?;Armerion halleri;Armerion halleri;;16348;PVF1;75.0.1.0.2;Armerion halleri;;;;4324;36.44;Communautés alpines métallifères;;595;E1;Pelouses sèches;;2859;6130;Pelouses calaminaires des Violetalia calaminariae;;;;
193;Agrostietea stoloniferae;Mentho arvensis-Eleocharition palustris;Mentho arvensis-Eleocharition palustris;B. Foucault 2012;16739;PVF2;;Mentho arvensis - Eleocharition palustris;;;;1270;37.2;Prairies humides eutrophes;;5011;C3.24;Communautés non-graminoïdes de moyenne-haute taille bordant l'eau;E3.41;;;;;;;
194;Agrostietea stoloniferae;Oenanthion fistulosae;Oenanthion fistulosae;;16575;PVF1;3.0.2.0.1;Oenanthion fistulosae;;;;4255;37.21;Prairies humides atlantiques et subatlantiques;;5223;E3.41;Prairies atlantiques et subatlantiques humides;;;;;;;;
195;Agrostietea stoloniferae;Bromion racemosi;Bromion racemosi;Tüxen ex B. Foucault 2008;16569;PVF1;3.0.1.0.1;Bromion racemosi;;;;4255;37.21;Prairies humides atlantiques et subatlantiques;;5223;E3.41;Prairies atlantiques et subatlantiques humides;;;;;;;;
196;Agrostietea stoloniferae;Alopecurion pratensis;Alopecurion pratensis;Passarge 1964;16571;PVF1;3.0.1.0.3;Alopecurion pratensis;;;;4255;37.21;Prairies humides atlantiques et subatlantiques;;5223;E3.41;Prairies atlantiques et subatlantiques humides;;;;;;;;
197;Agrostietea stoloniferae;Mentho longifoliae-Juncion inflexi;Mentho longifoliae-Juncion inflexi;Müller & Görs ex B. Foucault 2008;16573;PVF1;3.0.1.0.5;Mentho longifoliae-Juncion inflexi;;;;4295;37.24;Prairies à Agropyre et Rumex;;5273;E3.44;Gazons inondés et communautés apparentées;;;;;;;;
198;Agrostietea stoloniferae;Ranunculo repentis-Cynosurion cristati;Ranunculo repentis-Cynosurion cristati;;16748;PVF2;;Ranunculo repentis - Cynosurion cristati;;;;4295;37.24;Prairies à Agropyre et Rumex;;5273;E3.44;Gazons inondés et communautés apparentées;;;;;;;;
199;Agrostietea stoloniferae;Potentillion anserinae;Potentillion anserinae;Tüxen 1947 ex Jansen, Päzolt & Dengler in Dengler et al. 2003;16574;PVF1;3.0.1.0.6;Potentillion anserinae;;;;4295;37.24;Prairies à Agropyre et Rumex;;5273;E3.44;Gazons inondés et communautés apparentées;;;;;;;;
200;Agrostietea stoloniferae;Scirpoido holoschoeni – Juncion inflexi;Scirpoido holoschoeni – Juncion inflexi;;16744;PVF2;;Scirpoido holoschoeni - Juncion inflexi;;;;1288;37.4;Prairies humides méditerranéennes à grandes herbes;;1735;E3.1;Prairies humides hautes méditerranéennes;;;;;;;;
201;Agrostietea stoloniferae;Agrostio stoloniferae – Scirpoidion holoschoeni;Agrostio stoloniferae – Scirpoidion holoschoeni;;16750;PVF2;;Agrostio stoloniferae - Scirpoidion holoschoeni;;;;1288;37.4;Prairies humides méditerranéennes à grandes herbes;;5282;E3.11;Prairies humides hautes des plaines méditerranéennes;;2834;6420;Prairies humides méditerranéennes à grandes herbes du Molinio-Holoschoenion;;;;
202;Agrostietea stoloniferae;Paspalo distichi-Polypogonion viridis;Paspalo distichi-Polypogonion viridis;Braun-Blanq. In Braun-Blanq. Roussine & nègre 1952;16754;PVF2;;Paspalo distichi - Polypogonion viridis;;;;3978;24.53;Groupements méditerranéens des limons riverains;;5243;E5.44;Prairies méditerranéennes des berges alluviales;;2691;3280;Rivières permanentes méditerranéennes du Paspalo-Agrostidion avec rideaux boisés riverains à Salix et Populus alba;;;;
203;Agrostietea stoloniferae;Trifolio fragiferi – Cynodontion dactyli;Trifolio fragiferi – Cynodontion dactyli;;16752;PVF2;;Trifolio fragiferi - Cynodontion dactyli;;;;4295;37.24;Prairies à Agropyre et Rumex;;5273;E3.44;Gazons inondés et communautés apparentées;;;;;;;;
205;Arrhenatheretea elatioris;Brachypodio rupestris-Centaureion nemorali;Brachypodio rupestris-Centaureion nemorali;Braun-Blanq. 1967;;;;;4314;CORINE_biotopes;38.21;4314;38.21;Prairies de fauche atlantiques;;5341;E2.21;Prairies de fauche atlantiques;;2839;6510;Prairies de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);;;;
206;Arrhenatheretea elatioris;Arrhenatherion elatioris;Arrhenatherion elatioris;Koch 1926;16414;PVF1;6.0.1.0.1;Arrhenatherion elatioris;;;;4315;38.22;Prairies de fauche des plaines médio-européennes;;5345;E2.22;Prairies de fauche planitiaires subatlantiques;;2839;6510;Prairies de fauche de basse altitude (Alopecurus pratensis, Sanguisorba officinalis);;;;
207;Arrhenatheretea elatioris;Triseto flavescentis-Polygonion bistortae;Triseto flavescentis-Polygonion bistortae;Braun-Blanq. & Tüxen ex Marschall 1947;16416;PVF1;6.0.1.0.3;Triseto flavescentis-Polygonion bistortae;;;;1271;38.3;Prairies de fauche de montagne;36.51;1729;E2.3;Prairies de fauche montagnardes;;2840;6520;Prairies de fauche de montagne;;;;
208;Arrhenatheretea elatioris;Cynosurion cristati;Cynosurion cristati;Tüxen 1947;16417;PVF1;6.0.2.0.1;Cynosurion cristati;;;;1282;38.1;Pâtures mésophiles;;1747;E2.1;Pâturages permanents mésotrophes et prairies de post-pâturage;;;;;;;;
209;Arrhenatheretea elatioris;Poion alpinae;Poion alpinae;;16418;PVF1;6.0.2.0.2;Poion alpinae;;;;4326;36.52;Pâturages à Liondent hispide;;5211;E4.52;Pâturages à Leontodon hispidus;;;;;;;;
210;Arrhenatheretea elatioris;Lolio perennis-Plantaginion majoris;Lolio perennis-Plantaginion majoris;;16419;PVF1;6.0.3.0.1;Lolio perennis-Plantaginion majoris;;;;1355;87.2;Zones rudérales;;1720;E5.1;Végétations herbacées anthropiques;;;;;;;;
211;Arrhenatheretea elatioris;Poion supinae;Poion supinae;;16421;PVF1;6.0.3.0.3;Poion supinae;;;;4326;36.52;Pâturages à Liondent hispide;;5211;E4.52;Pâturages à Leontodon hispidus;;;;;;;;
213;Calluno vulgaris-Ulicetea minoris;Calluno vulgaris-Arctostaphylion uvae-ursi;Calluno vulgaris-Arctostaphylion uvae-ursi;Tüxen & Preising in Preising 1949 nom. nud.;16672;PVF1;13.0.2.0.1;Calluno vulgaris-Arctostaphylion uvae-ursi;;;;9436;31.226;Landes montagnardes à Calluna et Genista;;11545;F4.226;Landes montagnardes à Calluna et Genista;;2872;4030;Landes sèches européennes;;;;
214;Calluno vulgaris-Ulicetea minoris;Genistion tinctorio-germanicae;Genistion tinctorio-germanicae;B. Foucault 1990 nom. inval.;16673;PVF1;13.0.2.0.2;Genistion tinctorio-germanicae;;;;1217;31.2;Landes sèches;;1736;F4.2;Landes sèches;;2872;4030;Landes sèches européennes;;;;
215;Calluno vulgaris-Ulicetea minoris;Genisto pilosae-Vaccinion uliginosi;Genisto pilosae-Vaccinion uliginosi;Braun-Blanq. 1926;16674;PVF1;13.0.2.0.3;Genisto pilosae-Vaccinion uliginosi;;;;9436;31.226;Landes montagnardes à Calluna et Genista;;11545;F4.226;Landes montagnardes à Calluna et Genista;;2872;4030;Landes sèches européennes;;;;
217;Cisto ladaniferi-Lavanduletea stoechadis;Cistion laurifolii;Cistion laurifolii;;16486;PVF1;19.0.1.0.2;Cistion laurifolii;;;;4075;32.33;Maquis hauts à Cistus;;5495;F5.23;Maquis hauts à Cistus;;;;;;;;
219;Rosmarinetea officinalis;Rosmarinion officinalis;Rosmarinion officinalis;;16407;PVF1;58.0.1.0.1;Rosmarinion officinalis;;;;1227;32.4;Garrigues calcicoles de l'étage méso-méditerranéen occidental;31.2;1759;F6.1;Garrigues occidentales;F4.2;2872;4030;Landes sèches européennes;;;;pp
221;Rhamno catharticae-Prunetea spinosae;Dioscoreo communis-Salicion atrocinereae;Dioscoreo communis-Salicion atrocinereae;;;;;;4030;CORINE_biotopes;31.81;4030;31.81;Fourrés médio-européens sur sol fertile;;5326;F3.11;Fourrés médio-européens sur sols riches;;;;;;;;
222;Rhamno catharticae-Prunetea spinosae;Lonicerion periclymeni;Lonicerion periclymeni;;16517;PVF1;20.0.2.0.4;Lonicerion periclymeni;;;;16985;31.8112;Fruticées atlantiques Prunus spinosa et Rubus fruticosus;;17999;F3.1112;Fourrés à Prunellier et Ronces atlantiques;;;;;;;;
223;Rhamno catharticae-Prunetea spinosae;Pruno spinosae-Rubion ulmifolii;Pruno spinosae-Rubion ulmifolii;;16515;PVF1;20.0.2.0.2;Pruno spinosae-Rubion ulmifolii;;;;4026;31.89;Fourrés caducifoliés sub-méditerranéens sud-occidentaux;;5304;F3.22;Fourrés caducifoliés subméditerranéens sud-occidentaux;;;;;;;;
224;Rhamno catharticae-Prunetea spinosae;Rubo ulmifolii-Viburnion lantanae;Rubo ulmifolii-Viburnion lantanae;B. Foucault & Julve ex B. Foucault & J.-M. Royer 2015;;;;;22153;CORINE_biotopes;31.812122;22153;31.812122;Fruticées calcicoles de bord de route, sur craie;;20922;F3.11212;Fourrés à Prunellier et Lierre atlantiques;;;;;;;;
225;Rhamno catharticae-Prunetea spinosae;Berberidion vulgaris;Berberidion vulgaris;Braun-Blanq. 1950 ex Tüxen 1952;16520;PVF1;20.0.2.0.7;Berberidion vulgaris;;;;9538;31.812;Fruticées à Prunelliers et Troènes;;17905;F3.1121;Fourrés à Prunellier et Troène atlantiques et médio-européens;F3.12;2804;5110;Formations stables xérothermophiles à Buxus sempervirens des pentes rocheuses (Berberidion p.p.);;;;"pp ; pp"
226;Rhamno catharticae-Prunetea spinosae;Corylo avellanae-Populion tremulae;Corylo avellanae-Populion tremulae;(Braun-Blanq. ex Theurillat in Theurillat, Aeschimann, P.Küpfer & Spichiger 1995) Géhu all. prov. et stat. prov.;16522;PVF1;20.0.2.0.9;Corylo avellanae-Populion tremulae;;;;4030;31.81;Fourrés médio-européens sur sol fertile;31.8C;5326;F3.11;Fourrés médio-européens sur sols riches;F3.171;;;;;;;
227;Rhamno catharticae-Prunetea spinosae;Amelanchiero ovalis-Buxion sempervirentis;Amelanchiero ovalis-Buxion sempervirentis;O. de Bolòs et Romo in Romo 1989;;;;;4022;CORINE_biotopes;31.82;4022;31.82;Fruticées à Buis;31.8123|32.136;5291;F3.12;Fourrés à Buxus sempervirens;F3.1123|F5.136;2804;5110;Formations stables xérothermophiles à Buxus sempervirens des pentes rocheuses (Berberidion p.p.);;;;pp
228;Rhamno catharticae-Prunetea spinosae;Hippophaion fluviatilis;Hippophaion fluviatilis;;;;;;4501;CORINE_biotopes;44.12;4501;44.12;Saussaies de plaine, collinéennes et méditerranéo-montagnardes;;11725;F9.122;Fourrés ouest-méditerranéens à Salix purpurea ssp. lambertiana;;;;;;;;
229;Rhamno catharticae-Prunetea spinosae;Clematido vitalbae-Acerion campestris;Clematido vitalbae-Acerion campestris;;;;;;1223;CORINE_biotopes;31.8;1223;31.8;Fourrés;;1742;F3.1;Fourrés tempérés;;;;;;;;
230;Rhamno catharticae-Prunetea spinosae;Salici cinereae-Rhamnion catharticae;Salici cinereae-Rhamnion catharticae;;16513;PVF1;20.0.2.0.10;Salici cinereae-Rhamnion catharticae;;;;9537;31.811;Fruticées à Prunus spinosa et halliers à Rubus fruticosus;;20922;F3.11212;Fourrés à Prunellier et Lierre atlantiques;;;;;;;;
231;Rhamno catharticae-Prunetea spinosae;Rubo idaei-Viburnion opuli;Rubo idaei-Viburnion opuli;;;;;;1223;CORINE_biotopes;31.8;1223;31.8;Fourrés;;1742;F3.1;Fourrés tempérés;;;;;;;;
232;Rhamno catharticae-Prunetea spinosae;Humulo lupuli-Sambucion nigrae;Humulo lupuli-Sambucion nigrae;;25034;PVF1;;Humulo lupuli-Sambucion nigrae;;;;1223;31.8;Fourrés;;1742;F3.1;Fourrés tempérés;;;;;;;;
233;Rhamno catharticae-Prunetea spinosae;Mespilo germanicae-Ilicion aquifolii;Mespilo germanicae-Ilicion aquifolii;;;;;;4023;CORINE_biotopes;31.83;4023;31.83;Fruticées atlantiques des sols pauvres;;5292;F3.13;Fourrés atlantiques sur sols pauvres;;;;;;;;
234;Rhamno catharticae-Prunetea spinosae;Sambuco nigrae-Salicion capreae;Sambuco nigrae-Salicion capreae;;;;;;9525;CORINE_biotopes;31.872;9525;31.872;Clairières à couvert arbustif;;5769;G5.85;Clairières à couvert arbustif;;;;;;;;
235;Rhamno catharticae-Prunetea spinosae;Humulo lupuli – Sambucion nigrae;Humulo lupuli – Sambucion nigrae;B. Foucault & Julve ex B. Foucault & J.-M. Royer all. nov. hoc loco;25034;PVF1;;Humulo lupuli-Sambucion nigrae;;;;4030;31.81;Fourrés médio-européens sur sol fertile;;5326;F3.11;Fourrés médio-européens sur sols riches;;;;;;;;
237;Franguletea alni;Salicion cinereae;Salicion cinereae;;16616;PVF1;4.0.1.0.1;Salicion cinereae;;;;10198;44.923;Saussaies marécageuses à Saule laurier;;5510;F9.23;Saussaies marécageuses à Saule à cinq étamines;;;;;;;;
238;Franguletea alni;Lonicero periclymeni-Rubion sylvatici;Lonicero periclymeni-Rubion sylvatici;;26398;PVF2;;Lonicero periclymeni - Rubion sylvatici;;;;1223;31.8;Fourrés;;1742;F3.1;Fourrés tempérés;;;;;;;;
240;Cytisetea scopario-striati;Cytision oromediterranei;Cytision oromediterranei;;16343;PVF1;74.0.1.0.3;Cytision oromediterranei;;;;16965;31.8422;Landes à Cytisus purgans pyrénéennes;;11508;F3.212;Landes à Cytisus purgans pyrénéennes;;2809;5120;Formations montagnardes à Cytisus purgans;;;;
241;Cytisetea scopario-striati;Sarothamnion scoparii;Sarothamnion scoparii;;16526;PVF1;22.0.1.0.2;Sarothamnion scoparii;;;;9523;31.841;Landes médio-européennes à Cytisus scoparius;;5296;F3.14;Formations tempérées à Cytisus scoparius;;;;;;;;
243;Betulo carpaticae-Alnetea viridis;Sorbo mougeotii-Lonicerion alpigenae;Sorbo mougeotii-Lonicerion alpigenae;;16755;PVF2;;Sorbo mougeotii - Lonicerion alpigenae;;;;;;;;;;;;;;;;;;
244;Betulo carpaticae-Alnetea viridis;Pruno petraeae-Sorbion aucupariae;Pruno petraeae-Sorbion aucupariae;;16757;PVF2;;Pruno petraeae - Sorbion aucupariae;;;;492;41;Forêts caducifoliées;;11960;G1.913;Boulaies hercynio-alpines;;;;;;;;
245;Betulo carpaticae-Alnetea viridis;Salicion pentandrae;Salicion pentandrae;;16759;PVF2;;Salicion pentandrae;;;;3990;31.62;Fourrés de Saules;;5295;F2.32;Fourrés subalpins et oro-boréaux à Salix;;;;;;;;
247;Alnetea glutinosae;Alnion glutinosae;Alnion glutinosae;;16617;PVF1;4.0.2.0.1;Alnion glutinosae;;;;10184;44.911;Bois d'Aulnes marécageux méso-eutrophes;;11926;G1.411;Aulnaies marécageuses méso-eutrophes;;;;;;;;
248;Alnetea glutinosae;Sphagno-Alnion glutinosae;Sphagno-Alnion glutinosae;;16618;PVF1;4.0.2.0.2;Sphagno-Alnion glutinosae;;;;10194;44.912;Bois d'Aulnes marécageux oligotrophes;;11791;G1.412;Aulnaies marécageuses oligotrophes;;;;;;;;
251;Salicetea purpureae;Alno glutinosae-Salicion cinereae;Alno glutinosae-Salicion cinereae;;;;;;1378;CORINE_biotopes;44.1;1378;44.1;Formations riveraines de Saules;;1778;F9.1;Fourrés ripicoles;;;;;;;;
252;Salicetea purpureae;Salicion eleagno – daphnoidis;Salicion eleagno – daphnoidis;(Moor 1958) Grass in Mucina, Grabherr & Wallnöfer;25891;PVF1;;Salicion eleagno-daphnoidis;;;;1378;44.1;Formations riveraines de Saules;;1778;F9.1;Fourrés ripicoles;;2691;3280;Rivières permanentes méditerranéennes du Paspalo-Agrostidion avec rideaux boisés riverains à Salix et Populus alba;;;;
253;Salicetea purpureae;Salicion triandrae;Salicion triandrae;Müller & Görs 1958;16427;PVF1;62.0.1.0.1;Salicion triandrae;;;;4501;44.12;Saussaies de plaine, collinéennes et méditerranéo-montagnardes;;11710;F9.121;Fourrés à Saule à trois étamines et à Osier blanc;;;;;;;;91E0 pp
255;Populo albae-Salicetea albae;Rubo caesii-Populion nigrae;Rubo caesii-Populion nigrae;Passarge 1985;16431;PVF1;62.0.2.0.2;Rubo caesii-Populion nigrae;;;;4504;44.13;Forêts galeries de Saules blancs;;18071;G1.1111;Saulaies à Saule blanc ouest-européennes;;;;;;;;91E0
256;Populo albae-Salicetea albae;Fraxino excelsioris-Populion albae;Fraxino excelsioris-Populion albae;;;;;;4504;CORINE_biotopes;44.13;4504;44.13;Forêts galeries de Saules blancs;;5543;G1.22;Forets mixtes de Quercus-Ulmus-Fraxinus des grands fleuves;;;;;;;;91E0
258;Populo albae-Salicetea albae;Rubo ulmifolii-Populion albae;Rubo ulmifolii-Populion albae;;;;;;4505;CORINE_biotopes;44.14;4505;44.14;Galeries méditerranéennes de grands Saules;;18065;G1.1121;Forêts galeries méditerranéennes à Saule blanc;;;;;;;;92A0
260;Junipero-Pinetea sylvestris;Junipero hemisphaericae-Pinion sylvestris;"Junipero hemisphaericae-Pinion sylvestris ; Veronico officinalis – Pinetum sylvestris";Rivas Mart. 1983;25093;PVF1;;Junipero hemisphaericae-Pinion sylvestris;;;;17083;42.4241;Forêts de Pins de montagne à Véronique;42.5B;18420;G3.3241;Pinèdes de Pin à crochets à Véronique;G3.4;2845;9430;Forêts montagnardes et subalpines à Pinus uncinata (* si sur substrat gypseux ou calcaire);;;;
261;Erico carneae-Pinetea sylvestris = Junipero-Pinetea sylvestris;Cephalanthero rubrae-Pinion sylvestris;Cephalanthero rubrae-Pinion sylvestris = Junipero hemisphaericae-Pinion sylvestris, association : Polygalo calcareae – Pinetum sylvestris;;16531;PVF1;24.0.2.0.1;Cephalanthero rubrae-Pinion sylvestris;;;;9861;42.561;Forêts mésophiles calcicoles pyrénéennes de Pins sylvestres;;12102;G3.461;Pinèdes à Pin sylvestre mésophiles calcicoles pyrénéennes;;;;;;;;
263;Quercetea ilicis;Rhamno lycioidis-Quercion cocciferae;Rhamno lycioidis-Quercion cocciferae;;16387;PVF1;56.0.2.0.3;Rhamno lycioidis-Quercion cocciferae;;;;4073;32.45;Garrigues à genévrier oxycèdre;;5385;F6.15;Garrigues occidentales à Juniperus oxycedrus;;;;;;;;
265;Carpino betuli-Fagetea sylvaticae;Fagion sylvaticae;Fagion sylvaticae;Luquet 1926;16400;PVF1;57.0.3.3.1;Fagion sylvaticae;;;;4160;41.14;Hêtraies neutrophiles pyrénéo-cantabriques;;5526;G1.64;Hêtraies neutrophiles pyrénéo-cantabriques;;;;;;;;
266;Carpino betuli-Fagetea sylvaticae;Carpino betuli-Fagion sylvaticae;Carpino betuli-Fagion sylvaticae;Bœuf & Renaux 2010;;;;;1261;CORINE_biotopes;41.2;1261;41.2;Chênaies-charmaies;;616;G1;Forêts de feuillus caducifoliés;;;;;;;;
